id,country_region,scholarship_name,provider,degree_level,deadline,detailed_eligibility,link,price,created_at
64,,Sir Ratan Tata Scholarship,N/A,PhD,"Mar 23 ,2025","Below are the eligibility details for the four mainTata Trust scholarshipsfor the academic year 2025–26. Each program has distinct focus areas and applicant profiles.JN Tata Endowment Loan ScholarshipFor: Higher Education Abroad (Master’s, PhD, Postdoc)Open toIndian nationalspursuingpostgraduate, doctoral, or postdoctoralstudiesabroad.No restriction on field of study.Selection is strictlymerit-based.Candidates must have astrong academic recordand demonstrated potential.Scholarship is aloan of up to ?10 lakh, repayable in five instalments starting from the third year.Tata Trust Means Grant for CollegeFor: School and College Students in MaharashtraApplicable to students pursuing studies inMaharashtra(Class 8 onward, up to graduation).Only valid foracademic year 2025–26.Must have secured at least a“Pass” classin the previous exam.ATKT, grace marks, or condoned results are not accepted.Onlytwo siblings per familycan apply.Students must possess theoriginal annual fee receiptat the time of application.Lady Meherbai D Tata Education Trust ScholarshipFor: Indian Women Pursuing Overseas Master’s (Social Sector Fields)Open toIndian women graduateswith a strong academic and professional background.Must be seeking admission to aMaster’s program abroad.Fields:Social work, child welfare, education (including special education), and related areas.Typically supports10 scholars annuallythrough a rigorous selection process.Lady Tata Memorial Trust – Young Researcher AwardFor: Early-career Indian Scientists (Biomedical Research)Open toIndian researchersworking in the field ofleukemia, blood disorders, and related biomedical sciences.Applicants should be engaged inscientific research at recognized Indian institutions.Supports bothindividual researchandinstitutional projects.Focus areas:Cancer biology,bioinformatics,healthcare materials, anddisease mitigation. | Application: Each Tata Trust scholarship has a separate application process, typically conducted online. Below is the step-by-step guide:JN Tata Endowment Loan ScholarshipApply onlineatapplication.jntataendowment.org.Upload scanned copies of:Passport-size photoAadhaar card and passportAcademic transcripts and degree certificatesStatement of Purpose (max 800 words)Work experience (if applicable)Latest ITR/payslip (for working professionals)No editsallowed post-submission. For corrections, email with reference number.Application Deadline (2025–26):March 23, 2025Tata Trust Means Grant for CollegeApply online at tatatrusts.goodera.com.Register and fill the form with academic and personal details.Upload:Latest mark sheetOriginal annual fee receiptMust be studying inMaharashtra, with a minimum pass class.Application Deadline (2025–26):February 15, 2025Lady Meherbai D Tata Education Trust ScholarshipApply online attatatrusts.org.Register and fill the online application form.Required:Academic recordsProof of admission or application to a Master’s program abroadStatement of purposeand resumeFor Indian women only, in social-sector fields.Application Deadline (2025–26):May 2, 2025Lady Tata Memorial Trust – Young Researcher AwardApply via ladytatatrust.org.Download and submit the application as per instructions.Submit:Research proposalCVLetter from host institutionPublications (if any)Open to early-career Indian researchers in biomedical sciences.Application Deadline (2025–26):March 25, 2025 | Selection: Each scholarship offered by Tata Trusts follows a merit-based and/or need-based evaluation process. Here’s how candidates are selected:JN Tata Endowment Loan ScholarshipCandidates must submit a complete application with all supporting documents.Shortlisting is based onacademic merit,statement of purpose, andletters of recommendation.Shortlisted applicants may be called for apersonal interview.The interview assessescareer goals,clarity of purpose, andpotential social impact.Final selection is based onacademic record,interview performance, andfuture potential.Selected candidates are notified by the Trust.Tata Trust Means Grant for CollegeApplications are evaluated based on thecompleteness of the formandfinancial documents.The Trust reviews the applicant’sfamily income,expenses, andoverall financial condition.In some cases, candidates may be called for aninterview.Final selection is based solely onfinancial need and eligibility.Lady Meherbai D Tata Education Trust ScholarshipApplications are shortlisted based onacademic excellenceandpurpose of study.Selected candidates may be invited for apersonal interview.The interview evaluatesgoals,motivation, andcareer impact.Final selection is based on:Academic recordStatement of purposeLetters of recommendationInterview performancePotential to contribute to societyAwardees are directly notified by the Trust.Lady Tata Memorial Trust (Young Researcher Award)Application Review:Based onresearch proposal,scientific merit, andalignment with trust themesShortlisting:By expert committeesEvaluation:Scientific relevance, impact potential, and applicant's",https://collegedunia.com/scholarship/64,Variable Amount,2026-01-19 15:47:43.517176
65,,Accounting and Finance Division Top Ten Achievement Scholarship,N/A,Postgraduate,N/A,"Accounting and Finance Division Top Ten Achievement Scholarship is designed for continued UG students. The eligibility criteria for this scholarship program are:Applicants should be pursuingBSc Accounting & Financeor BSc Banking & Finance at Leeds University Business School.Applicants should either be the first-year or second-year students.Applicants must demonstrate outstanding academic excellence during their studies.The scholarship program is available for both domestic and international students. However, applicants are advised to submit proof of residency for verification. | Application: The Accounting and Finance Division Top Ten Achievement Scholarship does not have any additional application process. Students are reviewed based on the applications submitted at the time ofadmissions at the University of Leeds Business School.Admission Requirements for International Students:Academic records/transcriptsProof of English proficiency for non-native English speakers.IELTS: 6.0TOEFL-iBT: 87One Letter of recommendationAn updated resumeLetter of Intent or Statement of purpose | Selection: The selection for Accounting and Finance Division Top Ten Achievement Scholarship is based on theacademic performanceof the students. The top 20 students who have scored the highest marks in the Accounting and Finance Division in the first and second years will be selected.The students achieving higher grades in the first year will be awarded in the second year and the students who are achieving higher grades in 2nd year will be awarded in the third year. How the scholarship will be awardedIt will be awarded in the next year, after the year of achievement.Students planning to spend their third year in an industry or study abroad will be receiving the award at the starting of the third year.Students who become temporary leavers for a valid reason, such as ill-health, will also have their award deferred until their return to study.",https://collegedunia.com/scholarship/65,"₹237,837 ($2,626)",2026-01-19 15:47:43.442555
66,,Hira and Kamal Ahuja Award in Engineering,N/A,PhD,"Sep 01 ,2024","Eligibility & selection criteria:Graduate students registered full-time in a Master's or Doctoral program in the Faculty of EngineeringApplicants with minimum 80% aggregate are eligibleInternational students who have graduated from any of the following IITs – Delhi, Mumbai, Ropar, Roorkee, Kanpur, and Kharagpur. If an eligible candidate from IIT is not available, students from all NIITs in India will be considered.Permanent resident of Canada who has graduated from IIT or NIITPreference will be given to candidates who identify as women,who fulfill the above criteria, and wherein women are underrepresentedShould an eligible candidate not be available in any one year, available funds will be held and multiple awards may be given out in a future year Engineering Graduate Office in consultation with Prof. Sanjeev Bedi will identify candidates and select recipients. | Application: Candidates are required to follow the steps to apply for Graduate Award Application are listed below:Complete theGraduate Student Award applicationAttach required documentation as mentioned in the application form.Submit your completed application package to Graduate Studies and Postdoctoral Affairs (GSPA) before the application deadline.Students who wish to avail of the benefits of scholarship should also know about theadmission process at the University of Waterloo.Application to Waterloo (by International Students) can be made through OUAC (Ontario Universities Application Centre). Before filling this form, candidates must check whether they meet the admission requirements or not.Within 2 weeks of receiving the application, the university will send instructions for further steps. These instructions will be sent through email, from the address myapplication@waterloo.ca.After this, candidates will need to create a Guest Account on the university servers. Candidates then need to upload the required documents and will help them check the application status.Candidates can then use the ‘Application Information Form’, to further strengthen the chances of their admission.International Candidates have to upload the official transcripts of their academic certificates, along with their English Proficiency Test Scores.Selected candidates will be sent the application offer.Candidates can log in to their OUAC account to check the offer. Candidates need to accept the offer within deadlines given, to be considered for further process.Selected (international) candidates then need to apply for Study Permit and submit it to the university after they get it. | Selection: The selection process takes place once the application is received by the university.The application is mandatory for the selection process to take place.Student applications with good academic results and demonstration of their cultural responsibility to the Indian community will be considered first and will also stand a chance to get selected into the university soon.The selection process will take place with the application review followed by the interview.Selected candidates will be intimated through email.",https://collegedunia.com/scholarship/66,"₹658,625 ($7,272)",2026-01-19 15:47:43.598287
67,Australia,Monash Business School Undergraduate Scholarship- India,N/A,Postgraduate,"Jun 30 ,2024","All international students are eligible to apply for Monash College India - Monash Business School Undergraduate Scholarship. In addition to this, Candidates have to meet the eligibility criteria as defined by the university:Must be commencing an undergraduate program in the Monash Business School, Australia campus.Must have completed the international pathway India program.Must have scored a minimum weighted average mark* of 75.*Weighted average mark means the average of marks earned in all completed units of a program. It is a popularly used method by the universities to judge the academic performance of a candidate. It may also include the marks achieved in extracurricular activities or project work. The weights are variable and assigned by the university itself. It is calculated by using the credit point for each unit and the year level. | Application: The Monash College India - Monash Business School Undergraduate Scholarship is awarded on the basis of merit so no application process is required. The scholarship is for the students who take admission in the undergraduate program at Monash University.The academic records and performance of a candidate are reviewed which was submitted at the time of application foradmission at Monash College. The Monash College is fully administered by theMonash University. | Selection: The selection of students for the scholarship is clearly dependent on the academic performance which they display in their application for admission. This scholarship is renewable for a period of 2 years but in order to retain it the students must meet the set criteria.The criteria for retaining the scholarship for another year is maintaining a minimum 65 weighted average mark while pursuing a bachelor’s degree in the college. The scholarship amount goes up to20,000 USDif the performance of the candidate is outstanding in the second year as the shortlisted candidates get the amount in installments of10,000 USDfor two years.",https://collegedunia.com/scholarship/67,"₹1,811,400 ($20,000)",2026-01-19 15:47:43.667824
68,Canada,Abdul Majid Bader Graduate Scholarship- Dalhousie University,N/A,PhD,"Jan 15 ,2026","To get the Abdul Majid Bader Graduate Scholarship, students are first supposed to take admissions in Masters or Doctoralprograms at Dalhousie University. Apart from that, candidates are supposed to meet the eligibility criteria as defined by the university.Students from all over the world can apply for this Scholarship.Iranian students are given first preference.Students must have maintained at least a 3.7 GPA on a scale of 4.3 GPA in the last two years of their academic studies.Students are eligible for the complete duration of the programs upon renewal.Students from any discipline are eligible.The eligibility criteria stated by the university are purely based on merit which makes it easy for bright students to get an opportunity tostudy in Canada. | Application: If candidates meet the eligibility criteria, they are supposed to fill the application form for theAbdul Majid Bader Graduate Scholarship.Faculty of Graduate Studies at Dalhousie University followHarmonized Scholarship Processfor awarding the scholarship. This process uses a common application form for various FGS Scholarships.There are two ways to apply for this Scholarship:Current students or new students once they have applied for a program at the Dalhousie University, can apply directly before the Internal Deadline of their Department.Departments can nominate eligible students and submit the nominated students’ paperwork.Applicants need to provide the following documents:Completed application formMasters -Click hereDoctoral -Click hereTranscripts from previously attended universities. Final discretion will depend until the original transcripts are submitted.Two Reference lettersApplication forms should be sent by post. | Selection: Applications are evaluated on the basis of Tri-Council Guidelines for evaluation of academic excellence, research ability, communication, interpersonal and leadership abilities.Masters applications are evaluated through CGS-M criteriaIt considers applicants’ background in academic excellence - Scholarships and awards, duration of previous studies, type of program and courses pursued, etc.Research Potential-Quality and Originality of contribution to research and development, judgment and ability to think critically, ability to apply skills and knowledge, significance, the feasibility of proposed research, etc.Personal Characteristics and Interpersonal Skills-Work experience, leadership experience, volunteerism, ability to communicate theoretical, technical and Scientific concepts, etcDoctoral applications are evaluated through CGS Doctoral Criteria.Research Ability and Potential -Quality of Research Proposal, Relevant training, quality of contributions and extent of advancement in research, ability to communicate theoretical and scientific concepts, etcRelevant Experience and Achievements obtainedwithin and beyond academia- Scholarships and awards, academic record, professional and extracurricular activities, etc.Offers are communicated to the respective departments.Applicants will have 21 days to accept or reject the offer.Note:The tuition fee is not waived by the scholarship and the students are supposed to pay the same with the scholarship amount. Application for the scholarship should be submitted before the internal deadline of the particular department.",https://collegedunia.com/scholarship/68,"₹3,622,800 ($40,000)",2026-01-19 15:47:43.745946
69,UK,Brilliant Minds MBA Scholarship,N/A,,N/A,"The Brilliant Minds MBA scholarship will be awarded to students who opt for MBAprograms at the Imperial College Business School. Apart from that, students need to meet the eligibility criteria set by the college:Applicant must have a strong academic background, high scores in GMAT and also possess excellent professional record before joining the college.Applicants will have to submit GMAT scores before the deadline. The college expects these scores to not only be high but also well balanced.Applicants will be assessed during the admission process to judge eligibility on academic and professional grounds.Applicants will have to submit professional references along with their applications. The college may contact them if they find it appropriate.It is preferable for the candidates to hold either a first-class honors degree or its international equivalent. | Application: The applications for full-time MBA which will be received by the college before the deadline with all the necessary requirements shall be automatically considered for the Brilliant Minds MBA Scholarship. The application requirements and process are described below:Complete an application form for admission to a full-timeMBA program at Imperial College Business School.SubmitGMATscores.Submit an essay as a part of the application. All candidates will have to write a 700-word essay on the topic: “Describe your greatest academic achievement, and why this is a particular source of pride for you.”Candidates are recommended to submit their application before the deadline. This helps in increasing the chance of getting the scholarship. The deadline for scholarship applications are as follows:The completed application along with the essay can be submitted either as a part of the application form or via email to mba@imperial.ac.uk within the deadlines mentioned above. Any emails regarding this scholarship must state theBrilliant Minds Scholarship applicationand the candidate’s CID number should be mentioned in the subject line. | Selection: The selection for awarding scholarships to candidates is made by two scholarship committees based upon the date of submission of application.The full-time MBA program commences in September. Candidates who receive an offer for admission become a part of the selection process for the scholarship. The selection is made on the basis of the academic standing that the candidate displays at the time of application, the balance of GMAT scores and the response in the form of an essay.Also, the professional experience of the candidate and how their professional references speak of them will also be considered for the selection process. Therefore, it is completely a merit-based scholarship.",https://collegedunia.com/scholarship/69,"₹5,252,154 ($57,990)",2026-01-19 15:47:43.899919
70,,London Business School India Scholarship,N/A,Undergraduate,N/A,"London Business School India Scholarship program is specifically designed for the Indian students, who show their academic excellence and get admission to theMBA program at the London Business School.Only one student, out of the many who apply for this gets the scholarship award.Therefore, the students must fulfill the requirements given below to get eligible for the London Business School India Scholarship 2021:Nationality:Indian citizensWork Experience:A minimum of 2 years of experience in the related field.Along with this, the applicant has to meet academic requirements for the ScholarshipEnglish Proficiency scores:IELTSor PTEELP can be exempted, if the UG or PG degree of the applicant was in English or if he/she has worked or lived in an English speaking country (min 2 years)Exam Scores:GMAT/GREScoresBachelor degree or equivalent qualification | Application: Applicants do not need to fill any kind of application form for the scholarship, they will be automatically considered for this award if they satisfy the eligibility criteria. Therefore, all an applicant has to do is secureadmission at LSB.Some other documents required to submit to avail benefits of the London Business School India Scholarship are :Two Letters of Recommendation.An essay on the Post MBA goals of the student.An updated CV detailing work experience in a related field. | Selection: Candidates are shortlisted based on the eligibility criteria and submission of required documents. Shortlisted candidates are then invited for an interview session.The interviews are conducted by an alumnus of the school’s MBA program. Interviews are conducted in India. Candidates may have to travel for the interview.The interview session helps in evaluating the applicant’s abilities to work in multicultural teams and an international environment, along with the eligibility parameters. The result and recipient’s name is declared on the London School of Business’ official website.",https://collegedunia.com/scholarship/70,"₹3,542,193 ($39,110)",2026-01-19 15:47:43.820326
71,Canada,Eiffel Excellence Scholarship,N/A,PhD,N/A,"As per the eligibility criteria for the Eiffel Excellence Scholarship, candidates are not supposed to fulfill any special requirement. However, candidates need to meet the basic eligibility criteria as defined by the scholarship awarding body:The candidate must be an international student and submit a copy of the passport for verification.Applications must be submitted via French education institutions. Any application submitted through other sources will not be entertained.Applicants must be opting for a Master's level or Ph.D. program.Programs eligible for the scholarship:Political ScienceLawEconomics and managementEngineering SciencesTerms and Conditions for Eiffel Excellence Scholarship ProgramApplicants must not have already applied for any scholarship provided by the French government.Students who are applying for the second time will not be entertained even if the institution and course are different.Students should also have a basic knowledge of the French language.Note:Students who got the scholarship at the Masters's level canre-apply for receiving the scholarshipat a Ph.D. level. | Application: The applications for the Eiffel Excellence Scholarship program are not accepted directly by the Students. All the applications from the students for the scholarship are to be submitted by the French Higher Education Institutions.Check more scholarshipsBefore applying for the Eiffel Excellence Scholarship, applicants are advised to go through the below-mentioned points:Students are supposed to contact the International relations department of the university via email, phone or website to know the deadlines.Students are supposed to contact the French Embassy office or the Campus France office in their home country.The respective French university supports the application form and helps the student in completing the form.The application if finally send by the university on behalf of the student. | Selection: The selection process for the Eiffel Excellence Scholarship is carried out by a committee consisting of four panels of experts from the department of political science, law, engineering sciences, and management.The members of the panels are not allowed to evaluate the applications form the institutions with which they are associated or affiliated.Candidates are judged based on their academic performance as mentioned in their application forms.The institution and the department of the candidates are also considered based on their contribution to promoting the Eiffel Excellence program.Around 70% of the scholarships are offered to the candidates with outstanding academic performance and the rest 30% of scholarships are awarded to the candidates who have not received any scholarship.",https://collegedunia.com/scholarship/71,"₹106,963 ($1,181)",2026-01-19 15:47:43.971697
72,Canada,Karen McKellin International Leader of Tomorrow Award,N/A,Postgraduate,"Nov 15 ,2025","In order to be considered for the Karen McKellin International Leader of Tomorrow Award, applicants must fulfill all the requirements listed below:Nationality: International student studying in Canada on a verifiedCanadian student visa.High School Completion:From a recognized secondary school/ college, or another university.Academic Qualification:Demonstrate exceptional and consistent academic performance.UG Condition:Securedadmission at the University of British Columbia.Students should be entering their first year of the UBC undergraduate degree.Demonstrate financial need that will otherwise prevent the applicant from studying in Canada.Applicants must note that if they are nominated for a Karen McKellin International Leader of Tomorrow Award, then they will not be considered for merit-based awards offered by the university, includingInternational Major Entrance Scholarshipsand any other awards including theOutstanding International Student Awards. | Application: The process for the Karen McKellin International Leader of Tomorrow Award is given below:Mid- September:Decide on your academic program/campus.Late September:Decide on a nominator/referee.Early October:Discuss your nomination and create an account:-The nominator and teacher recommendations need to be completed and submitted a few days beforeNovember 15.Early October: Start your UBC admissions application.Mid-October: Gather relevant information for application and complete your sections of the award application.By November 15: Submit your completed application.By December 1:Apply to UBC.By January 31:Submit required documents.Mid- April: Check your email to learn if you have received an award.ELP Test NameMinimum Score RequirementIELTS6.5 (no section below 6.0)PTE(Academic)Overall: 65; Reading: 60; Listening: 60; Writing: 60; Speaking: 60TOEFLOverall: 90; Reading: 22; Listening: 22; Writing: 21; Speaking: 21DuolingoOverall: 125Applications for 2026 open in mid-September. When the application opens, you can only apply to winter session (September 2026 – April 2027). | Selection: Students are awarded on the basis of their academic merit and financial need. In addition to that, the Karen McKellin International Leader of Tomorrow Award recipients are selected on the following factors:Involvement in the Student AffairsLeadership SkillsContribution to Community ServiceAchievement in athletics, performing art, creative writing or debating.Note:For scholarship, you must apply first for an eligibleprogram at the UBCand should fill the application form along with it, within the deadlines.",https://collegedunia.com/scholarship/72,Variable Amount,2026-01-19 15:47:44.043939
73,,University of Sussex Chancellor's International Scholarship,N/A,Master,"May 01 ,2026","This scholarship is available to all the students who plan to continue their higher education in the U.K. The students who have been grantedadmission to the University of Sussexcan avail this scholarship. To apply for the Chancellor’s International Scholarship, the students must fulfill the given criteria:The student must have accepted a place on a full-time eligible Masters, which will commence at the University of Sussex in September 2026.A student must have secured excellent grades (UK first class or equivalent)A student must have a clear and specific goal with defined links to the course. | Application: Applying for Chancellor’s International Scholarship is quite easy. To be considered for the Chancellors International Scholarship, the students have to received and accepted an offer of a place on an eligibleMasters at Sussex.To apply for the scholarship, the students need to submit a statement of academic interests and should provide clear information to the university about:Drive and ambitionsApplicant’s ambitious plan post completing his/her studies on returning to home countryRelevant work experience, skills or extra-curricular activities that relate to applicants’ ambitions and/or chosen course.In order to get considered for the scholarship, you need to showcase excellent grades in your most recent qualification.Also, the students have to submit the application online only asno offline forms are available.The applicant has to fill personal details like name, contact information, education qualification, background details.In case the students are applying for a master’s course which starts in September 2026, they mustsubmit the application by May 1, 2026. | Selection: The criterion of selection is that an applicant must meet the eligibility criteria set by the University.The student must have submitted the application form along with a statement by the mentioned deadline.The write up mentions the applicant’s ambition plans.An international student has to meet English language requirements or should have completed a pre-sessional English course.The criteria for getting selected for a scholarship also include performance in the interview session.Students will be evaluated based on the information provided in the application form. Information provided with the master’s application may be used as part of the assessment.The scholarship Office will contact the applicant after the final decision is taken. The application of non-eligible candidates will be withdrawn.",https://collegedunia.com/scholarship/73,"₹609,717 ($6,732)",2026-01-19 15:47:44.366102
74,,ULMS Indian Subcontinent Excellence Scholarship,N/A,Postgraduate,N/A,"Candidates are required to meet the eligibility criteria given below to enjoy the benefits of the scholarship.Applicant must hold or be on track to obtain, at least a high 2:1 (65+%) in their undergraduate degree, including 60+% in modules relevant to the MSc program.Applicants must be from countries like Bangladesh, India, Nepal, Maldives, Pakistan and Sri Lanka only.Indian subcontinent applicants across all Liverpool on-campus MSc programs are eligible .Work experience relevant to the program would be advantageous, as would previously studying at a highly ranked university.Note 1:Work experience can include a paid internship, shadowing or voluntary positions.Note 2:All these criteria are for MSc taught program and not MSc research programs. | Application: Eligible program applicants will be considered. No separate scholarship application is needed. Documents required at the time of admission intoMSc programs at the University of Liverpoolare :School or College transcripts/certificatesUniversity transcripts and certified translation if applicableDegree certificatesEvidence of English Language proficiencyPersonal StatementTwo referencesThe application process might require an interview even if it is not otherwise mentioned to evaluate some candidates personally. A great positive attitude and good knowledge of the subject studied is generally advised to possess while giving the interview.Note:Scanned copies are allowed but students have to bring original documents at the time of admission. | Selection: Early program applications are advised as scholarships will be allocated on a first-come, first-served basis.The selection committee will review the program application along with documents required to submit for the scholarship. Selected candidates will be informed through email and scholarship funds will be allocated to them.",https://collegedunia.com/scholarship/74,Variable Amount,2026-01-19 15:47:44.141257
75,,The Dr. Manmohan Singh Scholarships,N/A,PhD,"Jan 15 ,2025","The University of Cambridge has established certain eligibility criteria that the prospective applicants need to fulfill. To be considered for the Dr. Manmohan Singh Scholarship program, an applicant must:Be an Indian national with a valid Indian Passport.Must be currently residing in IndiaHold a recognized masters of PG degree from an Indian university/institution.Below the age of 35 years as of January 31.Be intending to pursue a full-time Doctoral program at the University of Cambridge.For the 2021 scholarship, an applicant must be commencing the program in September-October 2021.Not be a recipient of otherscholarships to study in the U.K.Eligible CoursesHere is the list of the Doctoral courses that are included in the Dr. Manmohan Singh Scholarship.Science and TechnologyEconomicsSocial studiesAerospace EngineeringMarine EngineeringEnergy studies | Application: Applicants who fulfill the eligibility criteria can move ahead and apply for the scholarship. The application process of Dr. Manmohan Singh Scholarship is entirely online.Step-by-Step ProcessBefore applying for the scholarship, applicants must be complete applications to secureadmission at the University of Cambridge. The step-by-step process for Dr. Manmohan Singh Scholarship 2020 is given below:Step I:Choose a doctoral program and a supervisor at the University of Cambridge.Step II:Complete the admission requirements for theCambridge doctoral programs:UG and PG degrees and transcript2 academic/professional referenceResumeResearch proposalStatement of purpose/ personal essaySubmit the application forms before the admission application deadline.Step III:Choose St. John’s College as the first preference in the application form.Step IV:Upon confirmation of admission, complete the Dr. Manmohan Singh Scholarship application via the college website to notify the officials at St. John’s. The college will email the acknowledgment recipient to the applicants.Important DatesLast Date of application15thof January 2024Interview RoundBetween April 2024- June 2024Result DeclarationJune 2024Commencement of ClassesGenerally, in Sep/Oct every yearNote:Applicants must not contact St. John’s College at this stage. | Selection: Cambridge Universityfollows a strict selection process to select candidates for the Dr. Manmohan Singh Scholarship. The candidates are selected in a two-stage process:Stage I:Core selection committee and the Central Board of the St. Johns College and the Cambridge university go through the submitted applications and release the initial list of shortlisted candidates.Stage II:The PI round whereskype interviewsof candidates shortlisted from the first round are taken and then the final list of grantees is released.The interviews will be conducted between April and June 2024. Within a month of the skype interview session, the selection committee announces the name of the Dr. Manmohan Singh Scholarship recipient. The decision of the selection committee is final and cannot be challenged.Post Selection:After selection, St. John’s College will coordinate with the shortlisted students for pre-departure, travel arrangements, andU.K. student visas.",https://collegedunia.com/scholarship/75,Variable Amount,2026-01-19 15:47:44.290351
76,,MSc Merit based Scholarship,N/A,Postgraduate,"Aug 01 ,2025","To get the scholarship, students are supposed to takeadmission at the University College Dublinin the MSc program. This scholarship is to provide financial aid to students with exceptional academic records.The shortlisted students get a 50% tuition fee waiver and are also trained to represent the course and the institution at a global level when they enter the job industry. Students are required to meet the eligibility criteria as stated by the university.2:1 or 65% in bachelor’s degreeA minimum score of 630 points in the GMAT test, if you haven’t attempted the GRE test (GMAT score is a primary factor kept in mind by the bench of admissions):Verbal component score must at least be 30/51,The quantitative score no lower than 40/60;A score lying in 130-170 scoring scale for GRE:Minimum 158 out of 170GREVerbal ReasoningMinimum 160 out of 170 GRE Quantitative ReasoningMust have obtained a first-class honors degree (or equivalent) from a recognized institution.Secured a minimum overall score of 7.0 in the IELTS test, a score of 100/120 in the TOEFL test (or equivalent): only if applicable.Who isn’t eligible:Students opting for the below-mentioned courses will be considered ineligible for theMSc Merit-Based Scholarship for International Students:MSc in Biotechnology and BusinessMSc in Biotherapeutics and BusinessMSc in International Law and Business | Application: Candidates have to first apply for admission in any of the MSc programs at the University College Dublin.All the students are supposed to fill the application form for the scholarship available at the official website of University College Dublin.After filling all the necessary details in the application form, candidates are required to attach their GRE orGMATtest scores with the application form.Candidates will be supposed to fill the application form before the last date of application which is August 01, 2025. | Selection: The selection of the candidates for the scholarship is completely based on merit, academic performance, and eligibility criteria and resume with all the details about the students.",https://collegedunia.com/scholarship/76,"₹181,140 ($2,000)",2026-01-19 15:47:44.220348
77,,B.J. Seaman Scholarship,N/A,Postgraduate,N/A,"To get the B.J. Seaman Scholarship, all the international students are required to meet the eligibility criteria as defined by the University of Calgary. The applicant:Must have takenadmissions at the University of Calgaryin a full-time undergraduate program.Should be continuing their studies in the 2nd, 3rd or 4th year in any faculty.Should have completed the most recent fall and winter terms with at least 24 units.Disabled students will be accepted with 18 units.Should have aminimum GPA of 3.20in the most recent fall and winter terms.Terms and Conditions:The students entering an after-degree program in the fall term are not eligible for this scholarship. However, they will be eligible after completing the first year of their after-degree program.The supplemental exams, deferred exams, and special deferred exams or term work can affect the eligibility of the candidate for the B.J. Seaman scholarship. | Application: Students who have enrolled themselves in any of theundergraduate programs at the University of Calgarycan fill the application form for the scholarship. The students are supposed to apply for the B.J. Seaman Scholarship by visiting the official website of the University of Calgary.The applicant will have to sign in to their Study Center from the myUofC portal. Here is the direct link for theportal.On the home page, click on ‘My Financials’.Then scroll down to the Awards & Scholarship section.Click on ‘Apply for Undergraduate Award’.Ensure that the popups are enabled in the windows.The pop-up window will open on the screen. If it does not open then maybe the pop-ups are blocked in the windows.The new page will show all the scholarships or awards that are available and their application deadline dates.Apply for the B.J. Seaman Scholarship. | Selection: The selection of the candidate is purely based on academic merit. The scholarship is only for the students enrolled in the undergraduateprograms at University of Calgary. The performances of the applicants in their most recent fall and winter terms will decide whether they will be selected for the scholarship or not.Few other things are considered such as the financial need, extracurricular activities, leadership, volunteerism, etc may be considered, depending on the terms of the scholarship.",https://collegedunia.com/scholarship/77,"₹199,254 ($2,200)",2026-01-19 15:47:44.449373
78,Canada,Young Women in Public Affairs Award,N/A,Postgraduate,N/A,"Eligibility criteria to be selected for Young Women in Public Affairs Award is given below :Only female candidates are eligible for this scholarshipYoung women in theage group of 16 – 19 yearsas on April 01 every year will be eligibleApplicants must be students at a school, college, or university in a Zonta district/region, or studying elsewhere butare citizens of a Zonta CountryApplicants have to show proof ofActive commitment to volunteerism.Paid or unpaid leadership experience in local government or workplace.Volunteer leadership achievements.Knowledge in Zonta International and its programs.Support in Zonta International's mission of empowering women worldwide through service and advocacy.The applicant must not be a previous recipient of this award.Classified members, employees of Zonta International and Zonta International Foundation are not eligible to apply.** Classified members: Club members and individuals with direct membership with Zonta InternationalThe term ‘family members’ refer to - ancestors, descendants, adoptees, siblings, nieces or cousins, and spouse or cohabiting partner.Note: Z and Golden Z club members are also eligible to apply. | Application: Applicant must follow the steps given below to apply for Young Women in Public Affairs Awards:Step 1:Locate the nearest Zonta Club. *Step 2:Contact the Zonta Club for application deadline.Step 3:Download the application form from the website.Step 4:Fill the downloaded application form.Step 5:Submit required documents for verification of current enrolment from the school, college or university officials .Two confidential recommendationsfrom school, college or university are also required.Step 6:Submit all documents in English and the completed application form to your nearest Zonta Club.Note:Applicants from geographic areas within a Zonta district/ region where no clubs are located may apply through a Zonta e-club or directly to the district to be eligible for the district/ region and international awards.Application TimelineThe schedule of application and selection procedure is as follows:Date by which Zonta International posts the application on the official websiteAugust 01Last date by which Zonta clubs receive the applications.Varied (Contact club for deadline)Date by which club recipients are selected and applications are received by governor/ region representative.April 01Date by which district/ region recipients selected and applications are received by Zonta International Headquarters.May 01Announcement of district/ region and international winners.July 01 | Selection: All the applicants are shortlisted on the basis of their merit, concerning their commitment, volunteerism to public service and leadership skills.Each Zonta club reviews the submitted applications and the supporting documents and selects one applicant as the club level winner. The winning entry from each club is sent to the Zonta governor/ region representative.The district/ region evaluating committee reviews the applications received from various clubs and selects one applicant from each district/ region.The Zonta International Award Committee chooses 10 international recipients from district/region applications to Zonta International Board. After the consent of the Zonta International Board, Zonda Foundations providesYoung Women in Public Affairs Awardsand certificates to all the recipients.",https://collegedunia.com/scholarship/78,"₹452,850 ($5,000)",2026-01-19 15:47:44.556386
